Top queries,Clicks,Impressions,CTR,Position
korcula sword dance tickets,8,56,14.29%,4.46
moreska sword dance korcula,4,133,3.01%,8.4
moreska sword dance korcula tickets,4,58,6.9%,4.09
moreska korcula,3,103,2.91%,9.02
moreška korčula,3,102,2.94%,9.13
moreska,2,472,0.42%,10.32
moreska sword dance,2,147,1.36%,9.18
korcula moreska,2,35,5.71%,5.57
moreška sword dance,1,40,2.5%,8.78
moreska dance,1,34,2.94%,10.65
korčula moreška,1,17,5.88%,6.65
moreška,0,128,0%,9.64
moreska dance korcula,0,35,0%,7.14
korcula sword dance,0,33,0%,8.15
sword dance korcula,0,11,0%,10.27
sv cecilija,0,7,0%,5.29
sv. cecilija,0,4,0%,4.5
hgd,0,4,0%,9.75
moreška taniec,0,4,0%,11.25
moreska taniec,0,4,0%,15.25
sword dance,0,3,0%,1
moreska to,0,3,0%,10.33
moreska w szafie,0,2,0%,9.5
windorchestra,0,2,0%,15.5
mazurka sword dance,0,2,0%,49.5
je ne sais pas si,0,1,0%,1
knight dance chess,0,1,0%,1
traduire en français,0,1,0%,1
what instruments are played,0,1,0%,2
croatian dancing,0,1,0%,3
wind orchestra,0,1,0%,4
korcula,0,1,0%,5
hgd shop,0,1,0%,7
korčula moreška sword dance,0,1,0%,7
moreška sword dance korčula,0,1,0%,8
slike,0,1,0%,22
sword mazurka,0,1,0%,48
moresca dance,0,1,0%,49
